Event Number,Longest Track Length (cm),2nd Longest Track Length (cm),3rd Longest Track Length (cm)
472,155.71,0,0
473,319.69,298,283.38
474,187.9,0,0
475,55.82,0,0
476,439.87,124.92,0
477,309.09,162.12,158.33
478,437.47,225.38,0
479,863.67,107.88,0
480,184.31,102.23,0
481,671.89,0,0
482,186.35,0,0
483,572.3,104.69,0
484,785.43,0,0
485,148.15,0,0
486,703.57,0,0
487,539.48,0,0
488,578.49,96.71,0
489,75.92,0,0
490,506.89,0,0
491,623.68,0,0
492,108.86,0,0
493,868.86,0,0
494,444.53,0,0
495,155.07,90.7,0
496,54,44.37,0
497,178.65,0,0
498,136.63,0,0
499,142.38,0,0
500,548.07,0,0
501,555.52,0,0
502,422.66,0,0
503,621.42,0,0
504,660.3,0,0
505,305.45,0,0
506,263.48,0,0
507,559.26,0,0
508,720.16,0,0
509,70.02,0,0
510,118.53,0,0
511,1021.73,0,0
512,417.28,99.27,0
513,491.22,461.6,358.51
514,337.64,274.49,273.92
515,327.03,167.66,0
516,926.21,0,0
517,414.47,0,0
518,159.11,0,0
519,141.91,75.49,0
520,57.86,0,0
521,264.01,0,0
522,463.53,0,0
523,333.44,95.76,0
524,80.04,0,0
525,649.81,0,0
526,479.91,0,0
527,128.68,0,0
528,561.64,0,0
529,1065.22,0,0
530,255.33,0,0
531,732.82,112.81,0
532,371.13,227.14,72.16
533,1241.01,0,0
534,748.72,0,0
535,437.23,82.69,0
536,994.79,116.31,0
537,635.59,0,0
538,617.71,171.88,63.57
539,98.84,0,0
540,294.92,0,0
541,482.45,0,0
542,127.7,0,0
543,345.23,223.38,198.6
544,121.11,63.6,0
545,205.05,0,0
546,178.14,90.98,0
547,534.91,0,0
548,966.91,0,0
549,500.78,0,0
550,457.46,66.54,0
551,528.76,0,0
552,706.82,0,0
553,226.52,0,0
554,150.9,0,0
555,595.81,0,0
556,999.69,0,0
557,301.3,66.6,0
558,128.73,0,0
559,325.34,281.68,195.81
560,451.69,271.05,267.38
561,362.89,106.87,0
562,90.22,43.99,0
563,303.29,0,0
564,320.54,211.65,173.3
565,366.03,181.27,0
566,311.67,57.72,0
567,432.1,124.97,0
568,221.99,196.45,82.26
569,83.42,0,0
570,406.97,0,0
571,549.91,0,0
572,550.43,408.33,275.64
573,456.5,0,0
574,328.61,80.13,0
575,119.79,0,0
576,219.77,0,0
577,347,303.32,276.9
578,409.41,0,0
579,152.68,0,0
580,225.96,121.56,0
581,1099.23,0,0
582,667.56,0,0
583,373.99,308.36,233.26
584,117.66,108.85,0
585,54.38,0,0
586,442.29,0,0
587,497.73,0,0
588,543.83,0,0
589,796.11,0,0
590,808.2,0,0
591,139.41,0,0
592,318.88,0,0
593,153.74,0,0
594,238.34,97.61,0
595,1213.65,0,0
596,67.13,0,0
597,311.1,74.75,0
598,181.07,0,0
599,87.59,0,0
600,119.46,0,0
601,463.83,0,0
602,409.53,0,0
603,605.09,334.04,251.72
604,157.95,0,0
605,106.64,0,0
606,208.15,0,0
607,54.79,0,0
608,984.74,0,0
609,321.27,0,0
610,134.49,0,0
611,686.17,0,0
612,561.06,0,0
613,231.03,189.8,132.38
614,519.08,0,0
615,501.02,70.5,0
616,67.78,0,0
617,454.21,76.22,0
618,217.4,0,0
619,83.86,0,0
620,1000.23,0,0
621,426.67,0,0
622,728.15,0,0
623,757.8,0,0
624,97.75,0,0
625,153.31,90.29,0
626,833.41,100.28,0
627,333.37,0,0
628,316.62,95.69,0
629,121.2,0,0
630,202.08,0,0
631,181.07,137.41,0
632,81.09,0,0
633,142.74,0,0
634,615.17,0,0
635,837.09,0,0
636,116.7,0,0
637,289.11,0,0
638,181.55,67.05,0
639,239.08,0,0
640,913.11,0,0
641,774.65,0,0
642,666.29,0,0
643,674.98,0,0
644,522.51,0,0
645,288.64,71.78,0
646,574.96,0,0
647,466.61,0,0
648,296.54,245.92,91.71
649,759.75,0,0
650,422.28,0,0
651,628.91,0,0
652,594.7,0,0
653,284.28,0,0
654,63.35,0,0
655,491.7,0,0
