Longest Track Length (cm),2nd Longest Track Length (cm),3rd Longest Track Length (cm),Event Type
530.43,137.56,0.0,1
233.6,0.0,0.0,1
571.65,0.0,0.0,1
97.48,0.0,0.0,0
186.48,120.05,0.0,0
146.85,76.26,0.0,0
970.85,401.25,0.0,1
201.92,156.71,0.0,0
111.7,0.0,0.0,0
121.07,0.0,0.0,0
439.28,363.59,0.0,1
67.52,0.0,0.0,0
353.73,226.42,0.0,1
79.92,0.0,0.0,0
96.01,0.0,0.0,0
123.11,0.0,0.0,0
426.67,371.98,0.0,1
384.26,124.52,0.0,1
130.95,0.0,0.0,0
332.91,0.0,0.0,0
83.02,0.0,0.0,0
136.76,0.0,0.0,0
762.28,301.53,291.98,1
441.52,45.42,0.0,1
439.17,0.0,0.0,1
157.21,0.0,0.0,0
160.33,0.0,0.0,0
91.72,0.0,0.0,0
81.94,0.0,0.0,0
470.31,0.0,0.0,1
641.01,0.0,0.0,1
81.16,0.0,0.0,0
147.5,130.32,0.0,0
86.25,0.0,0.0,0
189.45,91.13,0.0,0
431.49,0.0,0.0,1
454.24,165.54,0.0,1
89.8,0.0,0.0,0
210.7,165.3,0.0,0
343.71,145.74,0.0,1
114.36,0.0,0.0,0
352.76,0.0,0.0,1
690.88,139.49,0.0,1
120.99,0.0,0.0,0
386.88,0.0,0.0,1
71.47,0.0,0.0,0
156.78,0.0,0.0,0
90.03,48.87,0.0,0
302.49,131.43,0.0,1
628.87,157.51,139.83,1
70.07,0.0,0.0,0
322.05,147.75,0.0,1
445.08,0.0,0.0,1
141.05,0.0,0.0,0
153.78,0.0,0.0,0
102.18,0.0,0.0,0
160.09,0.0,0.0,0
855.53,0.0,0.0,1
729.97,161.28,0.0,1
286.04,156.25,0.0,0
289.62,249.31,0.0,0
321.94,0.0,0.0,0
381.46,0.0,0.0,1
261.6,0.0,0.0,0
139.4,73.2,0.0,0
213.2,0.0,0.0,0
344.89,253.52,211.83,0
310.05,0.0,0.0,1
695.79,104.39,0.0,1
905.53,0.0,0.0,1
96.15,80.69,0.0,0
121.45,0.0,0.0,0
446.46,128.0,0.0,1
69.14,0.0,0.0,0
404.44,0.0,0.0,1
224.21,144.17,0.0,1
660.83,0.0,0.0,1
393.36,103.71,0.0,1
912.73,0.0,0.0,1
184.87,0.0,0.0,0
789.08,0.0,0.0,1
149.35,0.0,0.0,0
798.09,0.0,0.0,1
184.59,0.0,0.0,0
634.55,0.0,0.0,1
313.87,158.96,0.0,1
326.2,233.78,0.0,0
58.49,0.0,0.0,0
127.21,0.0,0.0,0
124.77,0.0,0.0,0
103.59,0.0,0.0,0
161.13,142.23,0.0,0
687.58,0.0,0.0,1
154.69,0.0,0.0,0
1021.7,0.0,0.0,1
239.72,0.0,0.0,1
169.8,0.0,0.0,0
93.45,0.0,0.0,0
61.63,0.0,0.0,0
699.92,0.0,0.0,1
125.08,0.0,0.0,0
468.82,0.0,0.0,1
190.31,0.0,0.0,0
167.55,60.7,0.0,0
118.29,0.0,0.0,0
389.27,0.0,0.0,1
265.07,226.0,0.0,0
653.8,0.0,0.0,1
584.08,0.0,0.0,1
139.6,0.0,0.0,0
1079.01,0.0,0.0,1
174.31,128.52,0.0,0
252.14,0.0,0.0,1
78.35,0.0,0.0,0
92.82,0.0,0.0,0
607.36,0.0,0.0,1
256.53,0.0,0.0,0
330.69,0.0,0.0,1
663.98,170.97,0.0,1
496.27,145.57,0.0,1
297.7,0.0,0.0,1
915.78,60.45,0.0,1
348.66,305.77,0.0,0
130.52,0.0,0.0,0
431.59,69.54,0.0,1
98.3,0.0,0.0,0
1163.84,303.99,0.0,1
101.55,0.0,0.0,0
120.96,0.0,0.0,0
1131.35,0.0,0.0,1
759.62,70.95,0.0,1
133.61,130.93,0.0,1
101.08,0.0,0.0,0
697.23,254.62,0.0,1
154.58,153.86,0.0,0
189.6,187.69,0.0,0
141.7,0.0,0.0,0
709.06,256.49,250.71,1
665.88,259.81,0.0,1
218.47,0.0,0.0,0
1090.94,427.46,124.93,1
101.3,0.0,0.0,0
768.97,0.0,0.0,1
554.65,0.0,0.0,1
364.88,229.39,0.0,1
101.72,0.0,0.0,0
456.01,188.41,122.66,1
1036.57,0.0,0.0,1
217.36,0.0,0.0,0
238.68,0.0,0.0,0
333.34,0.0,0.0,1
159.96,0.0,0.0,0
393.66,0.0,0.0,1
783.1,0.0,0.0,1
118.75,0.0,0.0,0
174.28,0.0,0.0,0
706.5,0.0,0.0,1
332.9,207.6,0.0,1
1201.72,146.14,95.24,1
658.35,0.0,0.0,1
173.0,137.03,0.0,0
214.4,0.0,0.0,0
448.05,0.0,0.0,1
829.43,312.54,128.36,1
1094.88,79.57,0.0,1
612.73,0.0,0.0,1
273.06,0.0,0.0,1
442.1,0.0,0.0,1
155.05,0.0,0.0,0
125.76,114.87,0.0,0
216.29,0.0,0.0,0
318.82,165.73,0.0,0
619.73,42.99,0.0,1
397.58,0.0,0.0,1
227.19,46.58,0.0,1
434.45,0.0,0.0,1
369.93,0.0,0.0,1
423.71,0.0,0.0,1
109.85,0.0,0.0,0
156.48,0.0,0.0,0
590.72,67.57,0.0,1
84.66,0.0,0.0,0
303.13,0.0,0.0,1
829.55,0.0,0.0,1
104.28,64.58,0.0,0
127.52,0.0,0.0,0
1075.39,0.0,0.0,1
243.63,143.28,0.0,0
351.99,0.0,0.0,1
652.88,126.18,0.0,1
255.01,0.0,0.0,1
363.99,356.71,0.0,1
69.2,0.0,0.0,0
537.7,67.65,0.0,1
85.72,0.0,0.0,0
357.41,0.0,0.0,1
362.43,120.37,0.0,1
280.11,122.67,0.0,1
116.89,0.0,0.0,0
349.17,112.89,0.0,0
256.74,0.0,0.0,1
336.93,149.31,140.57,0
197.24,44.48,0.0,0
258.08,0.0,0.0,0
383.25,91.57,55.94,1
759.28,97.7,0.0,1
139.54,92.64,0.0,0
190.13,0.0,0.0,0
448.59,0.0,0.0,1
325.42,122.93,0.0,1
162.0,0.0,0.0,0
145.84,0.0,0.0,0
95.71,0.0,0.0,0
217.49,0.0,0.0,1
212.65,149.91,0.0,0
453.34,0.0,0.0,1
99.16,0.0,0.0,0
41.15,0.0,0.0,0
478.36,146.72,0.0,1
356.96,349.82,0.0,1
344.62,0.0,0.0,1
59.91,0.0,0.0,0
81.79,0.0,0.0,0
969.28,0.0,0.0,1
66.22,0.0,0.0,0
184.44,182.6,0.0,0
455.07,189.46,0.0,1
525.38,45.45,0.0,1
167.06,0.0,0.0,0
53.69,0.0,0.0,0
246.12,197.1,82.7,0
120.44,0.0,0.0,0
781.52,200.1,191.52,1
226.82,0.0,0.0,1
725.13,0.0,0.0,1
76.84,0.0,0.0,0
159.88,0.0,0.0,0
187.51,65.17,0.0,0
92.37,0.0,0.0,0
961.2,0.0,0.0,1
486.91,0.0,0.0,1
196.2,0.0,0.0,0
125.55,0.0,0.0,0
88.91,0.0,0.0,0
161.47,0.0,0.0,0
153.29,0.0,0.0,0
755.67,275.93,48.33,1
244.16,0.0,0.0,0
738.86,0.0,0.0,1
186.09,0.0,0.0,0
299.61,100.28,0.0,1
414.13,0.0,0.0,1
220.36,0.0,0.0,0
383.13,0.0,0.0,1
193.35,0.0,0.0,0
566.53,0.0,0.0,1
665.47,92.54,84.35,1
170.8,0.0,0.0,0
199.73,0.0,0.0,0
133.06,0.0,0.0,0
497.51,0.0,0.0,1
422.87,0.0,0.0,0
828.48,130.32,115.29,1
65.29,0.0,0.0,0
303.62,0.0,0.0,0
681.43,0.0,0.0,1
51.6,0.0,0.0,0
213.71,0.0,0.0,0
165.61,48.02,0.0,0
399.13,163.46,0.0,1
213.53,142.25,0.0,0
62.66,0.0,0.0,0
119.44,111.12,0.0,0
615.78,0.0,0.0,1
118.41,0.0,0.0,0
395.91,0.0,0.0,1
297.05,0.0,0.0,1
704.28,101.49,0.0,1
586.32,69.78,0.0,1
203.01,0.0,0.0,0
540.52,101.56,0.0,1
724.97,117.95,0.0,1
345.21,0.0,0.0,1
95.56,0.0,0.0,0
321.82,169.04,0.0,1
434.42,0.0,0.0,1
282.77,0.0,0.0,0
248.07,243.1,117.54,1
517.98,72.55,0.0,1
649.95,160.71,0.0,1
439.79,265.22,207.69,0
107.03,0.0,0.0,0
156.92,0.0,0.0,0
231.08,0.0,0.0,1
194.21,0.0,0.0,0
435.0,0.0,0.0,0
143.29,0.0,0.0,0
831.11,230.38,0.0,1
546.43,0.0,0.0,1
261.94,140.81,0.0,1
210.56,144.14,0.0,1
435.84,94.94,0.0,1
519.05,147.13,0.0,1
302.4,0.0,0.0,0
526.14,0.0,0.0,1
365.88,310.21,262.27,0
103.83,0.0,0.0,0
66.7,0.0,0.0,0
281.67,0.0,0.0,1
223.79,76.37,0.0,0
697.69,117.46,0.0,1
69.23,0.0,0.0,0
391.29,166.43,94.26,1
162.51,0.0,0.0,0
126.03,0.0,0.0,0
445.0,0.0,0.0,1
692.8,71.19,0.0,1
847.07,0.0,0.0,1
762.98,170.45,69.86,1
749.27,0.0,0.0,1
104.38,0.0,0.0,0
443.68,0.0,0.0,1
119.87,0.0,0.0,0
163.02,0.0,0.0,0
428.04,174.57,92.88,1
263.8,203.7,0.0,0
779.01,0.0,0.0,1
150.99,0.0,0.0,0
230.33,0.0,0.0,0
189.79,0.0,0.0,0
